timestamp,LCS2_HUMIDITY,LCS4_HUMIDITY,LCS1_HUMIDITY,LCS3_HUMIDITY,LCS5_HUMIDITY,reference_HUMIDITY
2025-01-01 00:00:00,41.9599,36.6239,36.5899,36.4061,38.6829,46.5577
2025-01-01 00:01:00,41.0123,35.6763,35.6423,35.4585,37.7353,45.6101
2025-01-01 00:02:00,40.0028,34.6668,34.6328,34.449,36.7258,44.6006
2025-01-01 00:03:00,38.992,33.656,33.622,33.4382,35.715,43.5898
2025-01-01 00:04:00,38.2559,32.9199,32.8859,32.7021,34.9789,42.8537
2025-01-01 00:05:00,37.3546,32.0186,31.9846,31.8008,34.0776,41.9524
2025-01-01 00:06:00,36.6615,31.3255,31.2915,31.1077,33.3845,41.2593
2025-01-01 00:07:00,36.0126,30.6766,30.6426,30.4588,32.7356,40.6104
2025-01-01 00:08:00,35.5596,30.2236,30.1896,30.0058,32.2826,40.1574
2025-01-01 00:09:00,34.64,29.5798,29.8271,29.5507,31.8993,38.3816
2025-01-01 00:10:00,34.4263,29.3661,29.6134,29.337,31.6856,38.1679
2025-01-01 00:11:00,34.3494,29.2892,29.5365,29.2601,31.6087,38.091
2025-01-01 00:12:00,34.2727,29.2125,29.4598,29.1834,31.532,38.0143
2025-01-01 00:13:00,34.2831,29.2229,29.4702,29.1938,31.5424,38.0247
2025-01-01 00:14:00,34.4082,29.348,29.5953,29.3189,31.6675,38.1498
2025-01-01 00:15:00,34.7345,29.6743,29.9216,29.6452,31.9938,38.4761
2025-01-01 00:16:00,35.6416,30.3056,30.2716,30.0878,32.3646,40.2394
2025-01-01 00:17:00,35.9701,30.6341,30.6001,30.4163,32.6931,40.5679
2025-01-01 00:18:00,36.1806,30.8446,30.8106,30.6268,32.9036,40.7784
2025-01-01 00:19:00,36.2899,30.9539,30.9199,30.7361,33.0129,40.8877
2025-01-01 00:20:00,36.112,30.776,30.742,30.5582,32.835,40.7098
2025-01-01 00:21:00,35.8328,30.4968,30.4628,30.279,32.5558,40.4306
2025-01-01 00:22:00,35.5864,30.2504,30.2164,30.0326,32.3094,40.1842
2025-01-01 00:23:00,34.7963,29.7361,29.9834,29.707,32.0556,38.5379
2025-01-01 00:24:00,34.5933,29.5331,29.7804,29.504,31.8526,38.3349
2025-01-01 00:25:00,34.4106,29.3504,29.5977,29.3213,31.6699,38.1522
2025-01-01 00:26:00,34.2514,29.1912,29.4385,29.1621,31.5107,37.993
2025-01-01 00:27:00,34.0912,29.031,29.2783,29.0019,31.3505,37.8328
2025-01-01 00:28:00,33.9553,28.8951,29.1424,28.866,31.2146,37.6969
2025-01-01 00:29:00,33.8134,28.7532,29.0005,28.7241,31.0727,37.555
2025-01-01 00:30:00,33.6817,28.6215,28.8688,28.5924,30.941,37.4233
2025-01-01 00:31:00,33.5466,28.4864,28.7337,28.4573,30.8059,37.2882
2025-01-01 00:32:00,33.4324,28.3722,28.6195,28.3431,30.6917,37.174
2025-01-01 00:33:00,33.3185,28.2583,28.5056,28.2292,30.5778,37.0601
2025-01-01 00:34:00,33.214,28.1538,28.4011,28.1247,30.4733,36.9556
2025-01-01 00:35:00,33.1079,28.0477,28.295,28.0186,30.3672,36.8495
2025-01-01 00:36:00,33.0117,27.9515,28.1988,27.9224,30.271,36.7533
2025-01-01 00:37:00,32.9128,27.8526,28.0999,27.8235,30.1721,36.6544
2025-01-01 00:38:00,32.8173,27.7571,28.0044,27.728,30.0766,36.5589
2025-01-01 00:39:00,32.7203,27.6601,27.9074,27.631,29.9796,36.4619
2025-01-01 00:40:00,32.6267,27.5665,27.8138,27.5374,29.886,36.3683
2025-01-01 00:41:00,32.5336,27.4734,27.7207,27.4443,29.7929,36.2752
2025-01-01 00:42:00,32.4345,27.3743,27.6216,27.3452,29.6938,36.1761
2025-01-01 00:43:00,32.3469,27.2867,27.534,27.2576,29.6062,36.0885
2025-01-01 00:44:00,32.265,27.2048,27.4521,27.1757,29.5243,36.0066
2025-01-01 00:45:00,32.1845,27.1243,27.3716,27.0952,29.4438,35.9261
2025-01-01 00:46:00,32.111,27.0508,27.2981,27.0217,29.3703,35.8526
2025-01-01 00:47:00,32.052,26.9918,27.2391,26.9627,29.3113,35.7936
2025-01-01 00:48:00,31.969,26.9088,27.1561,26.8797,29.2283,35.7106
2025-01-01 00:49:00,31.8722,26.812,27.0593,26.7829,29.1315,35.6138
2025-01-01 00:50:00,31.7779,26.7177,26.965,26.6886,29.0372,35.5195
2025-01-01 00:51:00,31.7391,26.6789,26.9262,26.6498,28.9984,35.4807
2025-01-01 00:52:00,31.7854,26.7252,26.9725,26.6961,29.0447,35.527
2025-01-01 00:53:00,31.9618,26.9016,27.1489,26.8725,29.2211,35.7034
2025-01-01 00:54:00,32.201,27.1408,27.3881,27.1117,29.4603,35.9426
2025-01-01 00:55:00,32.4767,27.4165,27.6638,27.3874,29.736,36.2183
2025-01-01 00:56:00,32.7265,27.6663,27.9136,27.6372,29.9858,36.4681
2025-01-01 00:57:00,32.9339,27.8737,28.121,27.8446,30.1932,36.6755
2025-01-01 00:58:00,33.045,27.9848,28.2321,27.9557,30.3043,36.7866
2025-01-01 00:59:00,33.1343,28.0741,28.3214,28.045,30.3936,36.8759
2025-01-01 01:00:00,33.1997,28.1395,28.3868,28.1104,30.459,36.9413
2025-01-01 01:01:00,33.2609,28.2007,28.448,28.1716,30.5202,37.0025
2025-01-01 01:02:00,33.3096,28.2494,28.4967,28.2203,30.5689,37.0512
2025-01-01 01:03:00,33.3935,28.3333,28.5806,28.3042,30.6528,37.1351
2025-01-01 01:04:00,33.4577,28.3975,28.6448,28.3684,30.717,37.1993
2025-01-01 01:05:00,33.4613,28.4011,28.6484,28.372,30.7206,37.2029
2025-01-01 01:06:00,33.3669,28.3067,28.554,28.2776,30.6262,37.1085
2025-01-01 01:07:00,33.1984,28.1382,28.3855,28.1091,30.4577,36.94
2025-01-01 01:08:00,32.9662,27.906,28.1533,27.8769,30.2255,36.7078
2025-01-01 01:09:00,32.7541,27.6939,27.9412,27.6648,30.0134,36.4957
2025-01-01 01:10:00,32.6542,27.594,27.8413,27.5649,29.9135,36.3958
2025-01-01 01:11:00,32.6831,27.6229,27.8702,27.5938,29.9424,36.4247
2025-01-01 01:12:00,32.9381,27.8779,28.1252,27.8488,30.1974,36.6797
2025-01-01 01:13:00,33.2101,28.1499,28.3972,28.1208,30.4694,36.9517
2025-01-01 01:14:00,33.5243,28.4641,28.7114,28.435,30.7836,37.2659
2025-01-01 01:15:00,33.7826,28.7224,28.9697,28.6933,31.0419,37.5242
2025-01-01 01:16:00,34.0205,28.9603,29.2076,28.9312,31.2798,37.7621
2025-01-01 01:17:00,34.1031,29.0429,29.2902,29.0138,31.3624,37.8447
2025-01-01 01:18:00,34.2031,29.1429,29.3902,29.1138,31.4624,37.9447
