timestamp,LCS2_TEMPERATURE,LCS4_TEMPERATURE,LCS1_TEMPERATURE,LCS3_TEMPERATURE,LCS5_TEMPERATURE,reference_TEMPERATURE
2025-01-01 00:00:00,26.1963,28.0165,27.3144,27.445,27.6799,25.9781
2025-01-01 00:01:00,26.1731,27.9933,27.2912,27.4218,27.6567,25.9549
2025-01-01 00:02:00,26.1478,27.968,27.2659,27.3965,27.6314,25.9296
2025-01-01 00:03:00,26.1241,27.9443,27.2422,27.3728,27.6077,25.9059
2025-01-01 00:04:00,26.0966,27.9168,27.2147,27.3453,27.5802,25.8784
2025-01-01 00:05:00,26.0646,27.8848,27.1827,27.3133,27.5482,25.8464
2025-01-01 00:06:00,26.0348,27.855,27.1529,27.2835,27.5184,25.8166
2025-01-01 00:07:00,26.0076,27.8278,27.1257,27.2563,27.4912,25.7894
2025-01-01 00:08:00,25.9827,27.8029,27.1008,27.2314,27.4663,25.7645
2025-01-01 00:09:00,25.9599,27.7801,27.078,27.2086,27.4435,25.7417
2025-01-01 00:10:00,25.9401,27.7603,27.0582,27.1888,27.4237,25.7219
2025-01-01 00:11:00,25.924,27.7442,27.0421,27.1727,27.4076,25.7058
2025-01-01 00:12:00,25.9083,27.7285,27.0264,27.157,27.3919,25.6901
2025-01-01 00:13:00,25.8998,27.72,27.0179,27.1485,27.3834,25.6816
2025-01-01 00:14:00,25.9044,27.7246,27.0225,27.1531,27.388,25.6862
2025-01-01 00:15:00,25.9227,27.7429,27.0408,27.1714,27.4063,25.7045
2025-01-01 00:16:00,25.9528,27.773,27.0709,27.2015,27.4364,25.7346
2025-01-01 00:17:00,26.0001,27.8203,27.1182,27.2488,27.4837,25.7819
2025-01-01 00:18:00,26.057,27.8772,27.1751,27.3057,27.5406,25.8388
2025-01-01 00:19:00,26.1175,27.9377,27.2356,27.3662,27.6011,25.8993
2025-01-01 00:20:00,26.1814,28.0016,27.2995,27.4301,27.665,25.9632
2025-01-01 00:21:00,26.2466,28.0668,27.3647,27.4953,27.7302,26.0284
2025-01-01 00:22:00,26.31,28.1302,27.4281,27.5587,27.7936,26.0918
2025-01-01 00:23:00,26.3716,28.1918,27.4897,27.6203,27.8552,26.1534
2025-01-01 00:24:00,26.4304,28.2506,27.5485,27.6791,27.914,26.2122
2025-01-01 00:25:00,26.4851,28.3053,27.6032,27.7338,27.9687,26.2669
2025-01-01 00:26:00,26.5363,28.3565,27.6544,27.785,28.0199,26.3181
2025-01-01 00:27:00,26.5843,28.4045,27.7024,27.833,28.0679,26.3661
2025-01-01 00:28:00,26.6289,28.4491,27.747,27.8776,28.1125,26.4107
2025-01-01 00:29:00,26.6718,28.492,27.7899,27.9205,28.1554,26.4536
2025-01-01 00:30:00,26.7124,28.5326,27.8305,27.9611,28.196,26.4942
2025-01-01 00:31:00,26.7519,28.5721,27.87,28.0006,28.2355,26.5337
2025-01-01 00:32:00,26.7892,28.6094,27.9073,28.0379,28.2728,26.571
2025-01-01 00:33:00,26.8253,28.6455,27.9434,28.074,28.3089,26.6071
2025-01-01 00:34:00,26.8597,28.6799,27.9778,28.1084,28.3433,26.6415
2025-01-01 00:35:00,26.8936,28.7138,28.0117,28.1423,28.3772,26.6754
2025-01-01 00:36:00,26.9241,28.7443,28.0422,28.1728,28.4077,26.7059
2025-01-01 00:37:00,26.9529,28.7731,28.071,28.2016,28.4365,26.7347
2025-01-01 00:38:00,26.98,28.8002,28.0981,28.2287,28.4636,26.7618
2025-01-01 00:39:00,27.0063,28.8265,28.1244,28.255,28.4899,26.7881
2025-01-01 00:40:00,27.03,28.8502,28.1481,28.2787,28.5136,26.8118
2025-01-01 00:41:00,27.0532,28.8734,28.1713,28.3019,28.5368,26.835
2025-01-01 00:42:00,27.0742,28.8944,28.1923,28.3229,28.5578,26.856
2025-01-01 00:43:00,27.0936,28.9138,28.2117,28.3423,28.5772,26.8754
2025-01-01 00:44:00,27.1116,28.9318,28.2297,28.3603,28.5952,26.8934
2025-01-01 00:45:00,27.1289,28.9491,28.247,28.3776,28.6125,26.9107
2025-01-01 00:46:00,27.145,28.9652,28.2631,28.3937,28.6286,26.9268
2025-01-01 00:47:00,27.1609,28.9811,28.279,28.4096,28.6445,26.9427
2025-01-01 00:48:00,27.1757,28.9959,28.2938,28.4244,28.6593,26.9575
2025-01-01 00:49:00,27.1893,29.0095,28.3074,28.438,28.6729,26.9711
